src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.56.10,192.168.100.15,54304,80,6,2024-09-25 20:17:48,91.0540337562561,58.547653300793165,0.28554473566321936,0.1976848169976134,0.08785991866560595,18,8,2191,3140,411,66,121.72222222222223,118.96675798798941,717,66,392.5,324.50924486060484,717,66,205.03846153846155,240.4554141894454,57818.80621301775,360,160,20,3,3.642161350250244,21.864704132080078,1.4543533325195312e-05,5.570091696907892,87.1135892868042,21.86494755744934,0.0001304149627685547,5.124328781576717,6.1652588315212515,91.05401563644409,47.51098608970642,1.4543533325195312e-05,13.007716519492012,17.366510583736094,3,4,0,0,5,6,0,7,21,0,0,0.4444444444444444,205.03846153846155,64240,507,10.991399765014648,1.77634596824646,5.9968148072560625,3.801644025358257,12.970981121063232,5.36449122428894,9.075614154338837,3.098382697103057,0,0,0,0,0,0,121.72222222222223,392.5,0,18,8,2191,3140
192.168.56.10,192.168.100.15,54338,80,6,2024-09-25 20:17:48,91.07691431045532,61.519431597133,0.41722976988953314,0.2635135388775999,0.15371623101193324,24,14,2702,2901,443,66,112.58333333333333,117.39850817715795,717,66,207.21428571428572,266.2456380786704,717,66,147.44736842105263,192.1056038208948,36904.56301939059,480,280,20,3,2.4615382246069006,31.243956565856934,6.9141387939453125e-06,5.803405735485657,91.07690501213074,31.243956565856934,6.008148193359375e-05,3.959865435310032,6.947873082246665,91.076904296875,31.45758557319641,3.457069396972656e-05,7.005915715144231,10.651595452060105,3,3,0,0,10,9,0,6,32,0,0,0.5833333333333334,147.44736842105263,64240,507,0,0,0,0,22.36091136932373,5.413933753967285,13.887422561645508,8.473488807678223,0,0,0,0,0,0,112.58333333333333,207.21428571428572,0,24,14,2702,2901
192.168.56.10,192.168.100.15,54352,80,6,2024-09-25 20:17:48,91.08881497383118,62.62020207023988,0.3732620740512195,0.2525008147993543,0.12076125925186512,23,11,3652,2052,444,66,158.7826086956522,153.3617367736757,717,66,186.54545454545453,250.08193698588386,717,66,167.76470588235293,190.5597110099814,36313.00346020763,460,220,20,6,2.7602671204191265,22.347954988479614,5.0067901611328125e-06,5.264392095736953,91.08880114555359,22.461822509765625,5.8650970458984375e-05,4.140400052070618,6.342726861182809,91.08880519866943,33.98410177230835,0.0003428459167480469,9.108880519866943,10.687474896709789,6,2,0,0,9,7,0,8,30,0,0,0.4782608695652174,167.76470588235293,64240,507,10.836137533187866,3.1979987621307373,7.017068147659302,3.8190693855285645,15.124536514282227,7.112418174743652,9.995364586512247,3.6361753600217863,0,0,0,0,0,0,158.7826086956522,186.54545454545453,0,23,11,3652,2052
192.168.56.10,192.168.100.15,54366,80,6,2024-09-25 20:17:48,91.01767659187317,71.28285672564952,0.3845406882548911,0.2856587969893477,0.09888189126554343,26,9,3917,2571,447,66,150.65384615384616,149.3501158372223,717,66,285.6666666666667,305.0162108624538,717,66,185.37142857142857,209.70224955728958,43975.03346938776,520,180,20,6,2.6769904879962696,28.750597953796387,7.62939453125e-06,5.394544065374479,91.01741600036621,28.750597953796387,5.626678466796875e-05,3.6406966400146485,6.005875203677026,91.01766896247864,39.93953204154968,0.0001983642578125,11.37720862030983,12.873120741530748,6,3,0,0,6,11,0,9,27,0,0,0.34615384615384615,185.37142857142857,64240,507,0,0,0,0,17.561674118041992,9.555141925811768,13.55840802192688,4.003266096115112,0,0,0,0,0,0,150.65384615384616,285.6666666666667,0,26,9,3917,2571
192.168.56.10,192.168.100.15,54388,80,6,2024-09-25 20:17:48,91.0283989906311,36.91155768152992,0.16478373964968715,0.09887024378981228,0.06591349585987485,9,6,1654,1706,460,66,183.77777777777777,165.64538949734882,717,66,284.3333333333333,305.95460810751354,717,66,224.0,237.34587981818152,56333.066666666666,180,120,20,3,6.502028499330793,68.58202028274536,1.52587890625e-05,17.67838676491641,91.02838277816772,82.49476456642151,0.00010132789611816406,11.378547847270966,27.018255221233698,91.02838373184204,68.58202028274536,0.00041794776916503906,18.205676746368407,26.644974748945998,3,2,0,0,3,2,0,5,14,0,0,0.6666666666666666,224.0,64240,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.77777777777777,284.3333333333333,0,9,6,1654,1706
192.168.56.10,192.168.100.15,54512,80,6,2024-09-25 20:17:48,91.02812767028809,31.34196069959626,0.13182738464604105,0.12084176925887097,0.010985615387170087,11,1,2136,717,446,66,194.1818181818182,165.5079334444662,717,717,717.0,0.0,717,66,237.75,214.45322916664136,45990.1875,220,20,20,4,8.275284333662553,42.98217415809631,0.00017905235290527344,12.472565355089497,91.02812767028809,42.98217415809631,0.00017905235290527344,9.102812767028809,12.791372464502333,0,0,0,0,0,4,1,0,0,2,3,0,5,9,0,0,0.09090909090909091,237.75,502,507,39.181113481521606,15.174978733062744,27.178046107292175,12.003067374229431,38.767356157302856,5.623448848724365,21.26020057996114,13.595427070172132,0,0,0,0,0,0,194.1818181818182,717.0,0,11,1,2136,717
192.168.56.10,192.168.100.15,54528,80,6,2024-09-25 20:17:48,91.08825755119324,31.04681191657018,0.20858890608728198,0.17565381565244798,0.032935090434833995,16,3,2622,206,482,66,163.875,166.50858649030687,74,66,68.66666666666667,3.7712361663282534,482,66,148.8421052631579,156.70027143962474,24554.975069252076,320,60,20,4,5.0604587528440685,31.268850803375244,6.67572021484375e-06,8.710620397118937,91.08825755119324,31.268850803375244,0.00010991096496582031,6.072550503412883,9.214332753975954,36.34962272644043,19.841084718704224,16.508538007736206,18.174811363220215,1.6662733554840088,4,0,0,0,5,4,0,4,16,0,0,0.1875,148.8421052631579,64240,65160,0,0,0,0,16.982051372528076,6.847007751464844,11.858144640922546,4.72826083274348,0,0,0,0,0,0,163.875,68.66666666666667,0,16,3,2622,206
192.168.56.10,192.168.100.15,54530,80,6,2024-09-25 20:17:48,91.01590323448181,64.37336544258224,0.3515869080325365,0.24171599927236886,0.10987090876016767,22,10,2579,3280,444,66,117.22727272727273,123.7320902809342,717,66,328.0,317.63060305959186,717,66,183.09375,227.1512931086625,51597.7099609375,440,200,20,3,2.9359968785316712,11.359484672546387,5.7220458984375e-06,3.7908863123075602,79.65606093406677,9.318845748901367,0.0006730556488037109,3.7931457587650845,3.8337859610771314,74.86479043960571,23.09696650505066,8.726119995117188e-05,8.31831004884508,7.16385933904519,3,4,0,0,9,7,0,7,27,0,0,0.45454545454545453,183.09375,497,507,7.206451654434204,5.125916481018066,6.025324980417888,0.8724221070817221,7.928152561187744,6.843969345092773,7.358864903450012,0.4440306955722313,0,0,0,0,0,0,117.22727272727273,328.0,0,22,10,2579,3280
192.168.56.10,192.168.100.15,54566,80,6,2024-09-25 20:17:48,91.02468633651733,83.26312679596076,0.5053574129323387,0.36253901362537344,0.1428183993069653,33,13,4744,2835,477,66,143.75757575757575,145.71350685153223,717,66,218.07692307692307,273.2903391403648,717,66,164.7608695652174,193.5436345344612,37459.138468809084,660,260,20,7,2.022770807478163,15.254100799560547,6.67572021484375e-06,3.827013895594385,91.02467584609985,15.254100799560547,0.000102996826171875,2.8445211201906204,4.376224014168808,91.02467632293701,28.815411806106567,8.153915405273438e-05,7.585389693578084,7.927476921408487,7,3,0,0,9,12,0,10,37,0,0,0.3939393939393939,164.7608695652174,64240,507,11.93987512588501,5.358095407485962,8.102514743804932,2.7959311105621922,13.741931200027466,6.870265007019043,9.709637105464935,2.8086647277840795,0,0,0,0,0,0,143.75757575757575,218.07692307692307,0,33,13,4744,2835
192.168.100.15,192.168.56.10,80,54760,6,2024-09-25 20:17:48,91.02172088623047,53.40483516100342,0.25268693863465924,0.07690472045402673,0.17578221818063253,7,16,3082,1779,717,66,440.2857142857143,319.5316726021356,433,66,111.1875,112.41508948424139,717,66,211.34782608695653,250.59053882269382,62795.61814744802,140,320,20,4,4.137350949374112,26.027682781219482,5.4836273193359375e-06,6.191655107971474,91.02172088623047,43.42036271095276,0.008751153945922852,15.170286814371744,14.552614841873686,83.07432126998901,26.027682781219482,0.0005795955657958984,5.538288084665934,6.967795519506948,4,2,0,0,1,7,0,6,18,0,0,2.2857142857142856,211.34782608695653,507,497,22.364538192749023,3.687023639678955,10.581439733505249,8.372048690832049,21.030874729156494,7.002541780471802,13.594858884811401,5.758032187168534,0,0,0,0,0,0,440.2857142857143,111.1875,0,7,16,3082,1779
