src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.56.10,192.168.100.15,42338,80,6,2024-09-26 00:27:45,91.58399724960327,21.215496793665192,0.12010831947005512,0.06551362880184826,0.05459469066820688,6,5,429,1514,77,66,71.5,5.5,1262,54,302.8,479.62251823699853,1262,54,176.63636363636363,343.2834166286386,117843.50413223145,120,100,20,3,9.158399724960328,79.50607371330261,1.0013580322265625e-05,23.528478292506673,91.58399724960327,79.50608825683594,0.2540419101715088,18.316799449920655,30.65013394179917,12.077911853790283,6.032760143280029,0.2039494514465332,3.019477963447571,2.0753001743632162,3,2,0,0,1,0,1,5,10,0,0,0.8333333333333334,176.63636363636363,502,0,0,0,0,0,76.95256733894348,6.032750129699707,41.492658734321594,35.45990860462189,0,0,0,0,0,0,71.5,302.8,0,6,5,429,1514
192.168.56.10,192.168.100.15,42372,80,6,2024-09-26 00:27:45,91.52448678016663,36.44926202113282,0.1529645288656653,0.07648226443283265,0.07648226443283265,7,7,494,2842,77,66,70.57142857142857,5.2876444352347844,1262,54,406.0,541.3971344058418,1262,54,238.28571428571428,417.9682880266377,174697.48979591837,140,140,20,3,7.040345136935894,40.68143892288208,7.3909759521484375e-06,14.05146801518379,91.52448678016663,40.68156671524048,0.25591421127319336,15.254081130027771,17.392735555750676,91.52438282966614,79.44643640518188,3.314018249511719e-05,15.254063804944357,28.778759526589226,3,3,0,0,2,0,1,6,13,0,0,1.0,238.28571428571428,502,508,0,0,0,0,36.21139121055603,6.032732725143433,21.12206196784973,15.089329242706299,0,0,0,0,0,0,70.57142857142857,406.0,0,7,7,494,2842
192.168.56.10,192.168.100.15,42424,80,6,2024-09-26 00:27:45,91.58359003067017,36.42573957717553,0.15286581357327858,0.07643290678663929,0.07643290678663929,7,7,494,2842,77,66,70.57142857142857,5.2876444352347844,1262,54,406.0,541.3971344058418,1262,54,238.28571428571428,417.9682880266377,174697.48979591837,140,140,20,3,7.044891540820782,79.45543360710144,6.198883056640625e-06,20.97877472388131,91.58359003067017,79.45548987388611,0.05026841163635254,15.26393167177836,28.777061868453636,91.53329062461853,79.45543360710144,2.8371810913085938e-05,15.255548437436422,28.78206293733449,3,3,0,0,2,0,1,6,13,0,0,1.0,238.28571428571428,502,508,0,0,0,0,76.90179061889648,6.032689094543457,41.46723985671997,35.434550762176514,0,0,0,0,0,0,70.57142857142857,406.0,0,7,7,494,2842
192.168.56.10,192.168.100.15,42444,80,6,2024-09-26 00:27:45,91.58354091644287,22.03452694454282,0.13102791047299991,0.07643294777591661,0.05459496269708329,7,5,504,1514,77,66,72.0,5.209880722517277,1262,54,302.8,479.62251823699853,1262,54,168.16666666666666,329.8668502424711,108812.13888888886,140,100,20,4,8.325776446949352,76.32214093208313,6.198883056640625e-06,21.587341226206917,91.58354091644287,76.32214713096619,0.25316715240478516,15.263923486073812,27.357955652469588,12.077771186828613,6.032711029052734,0.20968985557556152,3.0194427967071533,2.0736777073521035,4,2,0,0,1,0,1,6,11,0,0,0.7142857142857143,168.16666666666666,502,0,0,0,0,0,73.76848316192627,6.032693862915039,39.900588512420654,33.867894649505615,0,0,0,0,0,0,72.0,302.8,0,7,5,504,1514
192.168.56.10,192.168.100.15,42458,80,6,2024-09-26 00:27:45,91.58403944969177,35.70491124489274,0.14194613033137787,0.0655135986144821,0.07643253171689578,6,7,428,2842,77,66,71.33333333333333,5.343739847293799,1262,54,406.0,541.3971344058418,1262,54,251.53846153846155,430.9023832671681,185676.86390532542,120,140,20,3,7.632003287474315,44.06067204475403,7.152557373046875e-06,14.572431070502157,91.58403944969177,79.50628018379211,0.2530519962310791,18.316807889938353,30.65031814731728,91.52802062034607,44.06067204475403,0.20971083641052246,15.254670103391012,17.565242598889196,3,3,0,0,1,0,1,6,12,0,0,1.1666666666666667,251.53846153846155,502,508,0,0,0,0,41.52347207069397,6.0326948165893555,23.778083443641663,17.745388627052307,0,0,0,0,0,0,71.33333333333333,406.0,0,6,7,428,2842
192.168.56.10,192.168.100.15,42504,80,6,2024-09-26 00:27:45,91.5838885307312,21.215521978497577,0.12010846205016641,0.06551370657281805,0.05459475547734837,6,5,429,1514,77,66,71.5,5.5,1262,54,302.8,479.62251823699853,1262,54,176.63636363636363,343.2834166286386,117843.50413223145,120,100,20,3,9.15838885307312,79.50622820854187,6.4373016357421875e-06,23.528634236504065,91.5838885307312,79.5062346458435,0.2538578510284424,18.31677770614624,30.65037242919165,12.077651023864746,6.032609462738037,0.20711255073547363,3.0194127559661865,2.077001584443904,3,2,0,0,1,0,1,5,10,0,0,0.8333333333333334,176.63636363636363,502,0,0,0,0,0,76.98566246032715,6.032599687576294,41.50913107395172,35.47653138637543,0,0,0,0,0,0,71.5,302.8,0,6,5,429,1514
192.168.56.10,192.168.100.15,42598,80,6,2024-09-26 00:27:45,91.58285760879517,22.733512082506312,0.14194796209057736,0.06551444404180494,0.07643351804877242,6,7,428,1654,77,66,71.33333333333333,5.343739847293799,1262,54,236.28571428571428,418.7811273840564,1262,54,160.15384615384616,318.1341870135078,101209.36094674555,120,140,20,3,7.63190480073293,40.69093036651611,6.198883056640625e-06,14.471868803932702,91.58285760879517,79.50542974472046,0.25968360900878906,18.316571521759034,30.650107869283488,91.53591632843018,40.69093036651611,0.20620441436767578,15.255986054738363,17.397152398425533,3,2,0,0,2,1,1,5,12,0,0,1.1666666666666667,160.15384615384616,502,508,0,0,0,0,36.276893615722656,6.032491445541382,21.15469253063202,15.122201085090637,0,0,0,0,0,0,71.33333333333333,236.28571428571428,0,6,7,428,1654
192.168.56.10,192.168.100.15,42650,80,6,2024-09-26 00:27:45,91.58264708518982,21.92555100675531,0.13102918928339827,0.07643369374864899,0.05459549553474928,7,5,494,1514,77,66,70.57142857142857,5.2876444352347844,1262,54,302.8,479.62251823699853,1262,54,167.33333333333334,330.1111765585784,108973.38888888892,140,100,20,3,8.32569518956271,79.45866870880127,6.198883056640625e-06,22.57265602813237,91.58264708518982,79.45867490768433,0.04659080505371094,15.263774514198303,28.779000066005317,12.077377080917358,6.032522916793823,0.20632457733154297,3.0193442702293396,2.0814472541504423,3,2,0,0,1,0,1,5,11,0,0,0.7142857142857143,167.33333333333334,502,0,0,0,0,0,76.98122572898865,6.032514810562134,41.50687026977539,35.47435545921326,0,0,0,0,0,0,70.57142857142857,302.8,0,7,5,494,1514
192.168.56.10,192.168.100.15,45172,80,6,2024-09-26 00:27:45,91.57489466667175,37.390160397816416,0.16380035221006023,0.07644016436469478,0.08736018784536546,7,8,504,2920,77,66,72.0,5.209880722517277,1262,66,365.0,517.8831914630944,1262,66,228.26666666666668,405.48875309789906,164421.12888888892,140,160,20,4,6.541063904762268,67.29315662384033,8.821487426757812e-06,17.237172060327453,91.57489466667175,67.29322266578674,0.03314518928527832,15.262482444445292,23.668053382454747,78.46581983566284,67.29316759109497,2.6464462280273438e-05,11.20940283366612,23.015979310547948,4,2,0,0,2,0,1,6,15,0,0,1.1428571428571428,228.26666666666668,502,508,0,0,0,0,66.2217218875885,13.075918674468994,39.64882028102875,26.572901606559753,0,0,0,0,0,0,72.0,365.0,0,7,8,504,2920
192.168.100.15,192.168.56.10,80,45710,6,2024-09-26 00:27:45,91.60686230659485,8.372735193494156,0.12007834045428387,0.054581063842856305,0.06549727661142757,5,6,330,437,66,66,66.0,0.0,77,66,72.83333333333333,4.946940693218609,77,66,69.72727272727273,4.992556442816721,24.925619834710744,100,120,20,0,9.160686230659485,47.006993770599365,5.9604644775390625e-06,14.188040263649476,88.38650131225586,67.29278707504272,1.5497207641601562e-05,22.096625328063965,26.56921735713293,78.5192539691925,47.006993770599365,1.0609955787658691,15.703850793838502,17.016742196141966,0,3,0,0,0,1,1,3,10,0,0,1.2,69.72727272727273,508,501,0,0,0,0,26.721209287643433,13.087608337402344,19.677868843078613,5.575107161354008,0,0,0,0,0,0,66.0,72.83333333333333,0,5,6,330,437
