src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.100.40,94.142.38.234,46738,443,6,2024-09-25 20:25:15,0.0034666061401367188,58270.24814305364,865.3997248968363,576.9331499312242,288.4665749656121,2,1,128,74,74,54,64.0,10.0,74,74,74.0,0.0,74,54,67.33333333333333,9.428090415820634,88.8888888888889,40,20,20,0,0.0017333030700683594,0.0034341812133789062,3.24249267578125e-05,0.0017008781433105469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,67.33333333333333,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,74.0,0,2,1,128,74
192.168.100.40,94.142.38.234,46752,443,6,2024-09-25 20:25:15,0.0032384395599365234,62375.72023853346,926.3720827504969,617.5813885003313,308.79069425016564,2,1,128,74,74,54,64.0,10.0,74,74,74.0,0.0,74,54,67.33333333333333,9.428090415820634,88.8888888888889,40,20,20,0,0.0016192197799682617,0.003232240676879883,6.198883056640625e-06,0.001613020896911621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,67.33333333333333,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,74.0,0,2,1,128,74
192.168.100.40,94.142.38.234,46768,443,6,2024-09-25 20:25:15,0.003499746322631836,57718.4691055249,857.2049867157164,571.4699911438108,285.7349955719054,2,1,128,74,74,54,64.0,10.0,74,74,74.0,0.0,74,54,67.33333333333333,9.428090415820634,88.8888888888889,40,20,20,0,0.001749873161315918,0.003459930419921875,3.981590270996094e-05,0.001710057258605957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,67.33333333333333,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,74.0,0,2,1,128,74
192.168.100.40,192.168.100.1,49477,53,17,2024-09-25 20:25:15,0.005300998687744141,120354.67985967438,754.57479535846,377.28739767923,377.28739767923,2,2,162,476,81,81,81.0,0.0,250,226,238.0,12.0,250,81,159.5,78.95726692331745,6234.25,16,16,8,2,0.0017669995625813801,0.0044972896575927734,2.4080276489257812e-05,0.0019550918780673787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,159.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,238.0,0,2,2,162,476
192.168.100.40,192.168.100.1,55981,53,17,2024-09-25 20:25:15,0.005468845367431641,61621.78254424972,365.70790827447905,182.85395413723953,182.85395413723953,1,1,81,256,81,81,81.0,0.0,256,256,256.0,0.0,256,81,168.5,87.5,7656.25,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,168.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,256.0,0,1,1,81,256
192.168.100.40,192.168.100.1,35106,53,17,2024-09-25 20:25:15,0.0013725757598876953,228038.4144519715,1457.114469341671,728.5572346708356,728.5572346708356,1,1,81,232,81,81,81.0,0.0,232,232,232.0,0.0,232,81,156.5,75.5,5700.25,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,156.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,232.0,0,1,1,81,232
192.168.100.40,192.168.100.1,47413,53,17,2024-09-25 20:25:15,0.004973173141479492,38204.98393978619,402.15772568195985,201.07886284097992,201.07886284097992,1,1,87,103,87,87,87.0,0.0,103,103,103.0,0.0,103,87,95.0,8.0,64.0,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.0,103.0,0,1,1,87,103
192.168.100.40,142.250.181.234,38978,443,6,2024-09-25 20:25:15,0.19996905326843262,26849.154467880642,140.0216660645666,70.0108330322833,70.0108330322833,14,14,2995,2374,1311,66,213.92857142857142,343.9097606486152,834,66,169.57142857142858,203.5536834371128,1311,66,191.75,283.4535266771509,80345.90178571429,280,280,20,7,0.007406261232164171,0.05925631523132324,2.384185791015625e-07,0.017050729199103016,0.19996905326843262,0.06638741493225098,1.9550323486328125e-05,0.01538223486680251,0.02550651969401042,0.14069128036499023,0.0597536563873291,2.384185791015625e-07,0.010822406181922326,0.01849404303940075,7,7,0,0,2,2,0,14,27,0,0,1.0,191.75,64240,277,0,0,0,0,0,0,0,0,0,0,581.0,4.0,0,3015953.7425742573,213.92857142857142,169.57142857142858,0,14,14,2995,2374
192.168.100.40,94.142.38.234,46786,443,6,2024-09-25 20:25:16,0.003431081771850586,58873.56041970676,874.3598082134667,582.9065388089779,291.45326940448894,2,1,128,74,74,54,64.0,10.0,74,74,74.0,0.0,74,54,67.33333333333333,9.428090415820634,88.8888888888889,40,20,20,0,0.001715540885925293,0.003376483917236328,5.459785461425781e-05,0.0016609430313110352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,67.33333333333333,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,74.0,0,2,1,128,74
192.168.100.40,94.142.38.234,46802,443,6,2024-09-25 20:25:16,0.003258228302001953,61996.88336016391,920.7457924776818,613.8305283184545,306.91526415922726,2,1,128,74,74,54,64.0,10.0,74,74,74.0,0.0,74,54,67.33333333333333,9.428090415820634,88.8888888888889,40,20,20,0,0.0016291141510009766,0.0032477378845214844,1.049041748046875e-05,0.0016186237335205078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,67.33333333333333,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,74.0,0,2,1,128,74
192.168.100.40,94.142.38.234,46804,443,6,2024-09-25 20:25:16,0.003131866455078125,64498.28014616322,957.8952496954932,638.5968331303288,319.2984165651644,2,1,128,74,74,54,64.0,10.0,74,74,74.0,0.0,74,54,67.33333333333333,9.428090415820634,88.8888888888889,40,20,20,0,0.0015659332275390625,0.0031175613403320312,1.430511474609375e-05,0.0015516281127929688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,67.33333333333333,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,74.0,0,2,1,128,74
192.168.100.40,192.168.100.1,60848,53,17,2024-09-25 20:25:17,0.0477910041809082,15337.614527313544,83.69776003991021,41.848880019955104,41.848880019955104,2,2,172,561,86,86,86.0,0.0,303,258,280.5,22.5,303,86,183.25,98.54282064158707,9710.6875,16,16,8,2,0.015930334726969402,0.042342185974121094,1.52587890625e-05,0.018806539822659053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,183.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,280.5,0,2,2,172,561
192.168.100.40,192.168.100.1,49806,53,17,2024-09-25 20:25:17,0.005209445953369141,74672.04832951946,383.9179862700229,191.95899313501144,191.95899313501144,1,1,86,303,86,86,86.0,0.0,303,303,303.0,0.0,303,86,194.5,108.5,11772.25,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,194.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,303.0,0,1,1,86,303
192.168.100.40,192.168.100.1,53954,53,17,2024-09-25 20:25:17,0.0014941692352294922,234243.88064464656,1338.5364608265518,669.2682304132759,669.2682304132759,1,1,86,264,86,86,86.0,0.0,264,264,264.0,0.0,264,86,175.0,89.0,7921.0,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,175.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,264.0,0,1,1,86,264
192.168.100.40,192.168.100.1,53389,53,17,2024-09-25 20:25:17,0.06491208076477051,6978.670143722384,61.62181142359721,30.810905711798604,30.810905711798604,2,2,152,301,76,76,76.0,0.0,173,128,150.5,22.5,173,76,113.25,40.5054008744513,1640.6875,16,16,8,2,0.021637360254923504,0.05929374694824219,2.574920654296875e-05,0.026723897023697922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,113.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0,150.5,0,2,2,152,301
192.168.100.40,192.168.100.1,51877,53,17,2024-09-25 20:25:17,0.004013776779174805,78230.55871695872,498.2838134838135,249.14190674190675,249.14190674190675,1,1,73,241,73,73,73.0,0.0,241,241,241.0,0.0,241,73,157.0,84.0,7056.0,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,157.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,241.0,0,1,1,73,241
192.168.100.40,192.168.100.1,55918,53,17,2024-09-25 20:25:17,0.005370378494262695,53068.88523862375,372.4132297447281,186.20661487236404,186.20661487236404,1,1,73,212,73,73,73.0,0.0,212,212,212.0,0.0,212,73,142.5,69.5,4830.25,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,142.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,212.0,0,1,1,73,212
192.168.100.40,192.168.100.1,60837,53,17,2024-09-25 20:25:17,0.007248878479003906,34350.14129719774,275.90474937508225,137.95237468754112,137.95237468754112,1,1,76,173,76,76,76.0,0.0,173,173,173.0,0.0,173,76,124.5,48.5,2352.25,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,124.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0,173.0,0,1,1,76,173
192.168.100.40,192.168.100.1,43326,53,17,2024-09-25 20:25:17,0.0008394718170166016,246583.62056234025,2382.4504402158477,1191.2252201079239,1191.2252201079239,1,1,76,131,76,76,76.0,0.0,131,131,131.0,0.0,131,76,103.5,27.5,756.25,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,103.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0,131.0,0,1,1,76,131
192.168.100.40,192.168.100.1,33962,53,17,2024-09-25 20:25:17,0.006728172302246094,84718.40113394755,594.5150956768249,297.25754783841245,297.25754783841245,2,2,160,410,80,80,80.0,0.0,217,193,205.0,12.0,217,80,142.5,63.07336997497438,3978.25,16,16,8,2,0.0022427241007486978,0.0042688846588134766,2.1457672119140625e-05,0.001739484354125567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,142.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,205.0,0,2,2,160,410
